config_hash,case_id,repetition,instance_id,seed,coupling_pair_id,coupling_seed,family,generator_version,research_question_id,instance_origin,is_adversarial,universe_size,set_count,k,parameters,incidence_count,covered_element_count,unique_set_count,actual_density,mean_set_size,pairwise_overlap_mean_jaccard,pairwise_overlap_total_pairs,pairwise_overlap_valid_pairs,coverage_skew_gini,duplicate_set_count,duplicate_set_ratio,dominated_set_count,dominated_set_ratio,dominated_unique_ratio,preprocessed_set_count,adversarial_severity,realized_trap_fraction,known_optimum,optimum_source,optimum_selected,proof_kind,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,0,40c0c5afc4dda1a0df30227d6cc686bac187e48a119a83447e19eceb0fab3296,16941105954642047133,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",321,39,16,0.41796875,20.0625,0.58671222316331018,120,120,0.4917478623980911,0,0,1,0.0625,0.0625,15,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,1,8a6d7aa05716e9e275a5aae3dbf6d0073fcbe627742b8d154335ad5495acde23,16941105954642047134,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",322,38,16,0.41927083333333331,20.125,0.58766224186857619,120,120,0.49570503502048369,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,2,8b383b2c06f74afe28a978a97367fb3145be0ad2f32d5d8c913f0148abafbd97,16941105954642047135,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",309,40,16,0.40234375,19.3125,0.52429404038499494,120,120,0.48619431246987538,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,3,6fbf48a3b338a477323f8e939a4aa995161eef661988be01737974c01b46d817,16941105954642047136,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",325,37,16,0.42317708333333331,20.3125,0.6214959857641017,120,120,0.50991816693944358,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,4,a0ce61b3e540edcf79a8557ade2576e6049c480b947890a3a5cf4e8ff5b8f796,16941105954642047137,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",314,35,16,0.40885416666666669,19.625,0.59030673649420529,120,120,0.51145141618105439,0,0,1,0.0625,0.0625,15,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,5,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,16941105954642047138,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",337,40,16,0.43880208333333331,21.0625,0.61439063405730077,120,120,0.48052276027526991,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,6,4fe832b7d0ef10ecdf008468d3ef30666f40dce726aea19ab7a8a03ab1bb4dd1,16941105954642047139,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",327,34,16,0.42578125,20.4375,0.6394735791884093,120,120,0.513045741427549,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,7,cdff6e615ac8f928634d1971106a3cbe59516225b082752cf9d1d0e38c3c5f6a,16941105954642047140,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",338,38,16,0.44010416666666669,21.125,0.63929760474731745,120,120,0.49628603802089888,0,0,1,0.0625,0.0625,15,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,8,a28a1bf8ba4bbf6fc9a95bb82bb92268498c1f3d71d40cfa6841fe70599d03d2,16941105954642047141,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",324,37,16,0.421875,20.25,0.60587856011406738,120,120,0.50459679537693725,0,0,0,0,0,16,,,,,,,2
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,9,e079a5e27481ede58a7627b4f9edbc88d0ef8391c65ab63f06276292001eeb47,16941105954642047142,,,high_overlap,1,,stochastic,False,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",323,36,16,0.42057291666666669,20.1875,0.61273227144927811,120,120,0.50438047559449317,0,0,1,0.0625,0.0625,15,,,,,,,2
