config_hash,case_id,instance_id,run_id,case,repetition,seed,family,universe_size,set_count,k,parameters,algorithm_id,algorithm_seed,algorithm,algorithm_options,algorithm_metadata,status,coverage,best_bound,optimum,optimality_gap,runtime_seconds,is_exact,timed_out,nodes_or_iterations,selected,error_message,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,40c0c5afc4dda1a0df30227d6cc686bac187e48a119a83447e19eceb0fab3296,9a236d5f76465e2e687e4f24c453f6910e0912a09f27b93ad7f2da12fee88d0b,overlap,0,16941105954642047133,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,33,0.0303030303,0.0000225000,False,False,58,1 2 3 4,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,40c0c5afc4dda1a0df30227d6cc686bac187e48a119a83447e19eceb0fab3296,06b52a9dd1e14a053c11e2813fc054daea3acf7d03d78de6a2e4a1a9fc44728e,overlap,0,16941105954642047133,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,33,33,33,0.0000000000,0.0006771000,True,False,1820,1 2 3 8,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,8a6d7aa05716e9e275a5aae3dbf6d0073fcbe627742b8d154335ad5495acde23,e088a771637d5ef7ebca331ae3eb38f55fa385468ec2216f7aa3413b9c5d4dee,overlap,1,16941105954642047134,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,34,,34,0.0000000000,0.0000174000,False,False,58,2 3 4 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,8a6d7aa05716e9e275a5aae3dbf6d0073fcbe627742b8d154335ad5495acde23,68ccd52fa182d400b2ce469d902f92282afcf7bbf8c6587ad637307b071735dd,overlap,1,16941105954642047134,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,34,34,34,0.0000000000,0.0006962000,True,False,1820,2 3 4 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,8b383b2c06f74afe28a978a97367fb3145be0ad2f32d5d8c913f0148abafbd97,205e2513009d98882cfcadde5806b62da5b9170b706b5dd9e93fc555734044c8,overlap,2,16941105954642047135,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,33,,34,0.0294117647,0.0000166000,False,False,58,0 3 4 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,8b383b2c06f74afe28a978a97367fb3145be0ad2f32d5d8c913f0148abafbd97,9ef2f8d411123df502dc35346384eaffd9dadb24b6f63cc9d1f0f43c498eece5,overlap,2,16941105954642047135,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,34,34,34,0.0000000000,0.0007394000,True,False,1820,2 3 4 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,6fbf48a3b338a477323f8e939a4aa995161eef661988be01737974c01b46d817,de15f53e26b757e39b014d32ba124e803eb7ebf702e9f2df70046b5c81a74d53,overlap,3,16941105954642047136,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000159000,False,False,58,0 4 5 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,6fbf48a3b338a477323f8e939a4aa995161eef661988be01737974c01b46d817,c46438e91be918441296378f4645e9b383a22a507fbaf8bc2323579b44f37f86,overlap,3,16941105954642047136,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006760000,True,False,1820,0 4 5 6,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a0ce61b3e540edcf79a8557ade2576e6049c480b947890a3a5cf4e8ff5b8f796,496f5de9299cc3ac242106b868adad999052aca2b4a5de2c566f6b10945ef689,overlap,4,16941105954642047137,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000167000,False,False,58,1 3 4 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a0ce61b3e540edcf79a8557ade2576e6049c480b947890a3a5cf4e8ff5b8f796,a0cec9fda2fc251776d3447c7c33f97ab95d74b87adbe98101f6811379214ab8,overlap,4,16941105954642047137,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0007357000,True,False,1820,1 3 4 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,3d432cebd75033067c5d93bfd775e0bb411079ae87bbafbbec9f7424e541946a,overlap,5,16941105954642047138,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,34,,36,0.0555555556,0.0000173000,False,False,58,1 4 5 14,,4
