workload,repetition,before_seconds,after_seconds,after_minus_before_seconds,after_over_before
fresh,1,1.5532718,1.0332702,-0.5200016000000001,0.6652217596430966
fresh,2,1.4837884,1.0215206,-0.4622678,0.6884543645172048
fresh,3,1.5132305,1.3961923,-0.11703819999999987,0.922656726784188
fresh,4,1.532494,1.0460481,-0.4864459000000001,0.6825789203742396
fresh,5,1.4734756,1.1387265,-0.3347491,0.7728166655762742
fresh,6,1.5315275,1.0181189,-0.5134086,0.6647735022714251
fresh,7,1.5821468,1.0535878,-0.528559,0.6659229093027271
resume,1,1.2761653,0.7824571,-0.49370819999999993,0.6131314650225954
resume,2,1.2303726,0.7707439,-0.4596286999999999,0.6264312940649036
resume,3,1.1618437,0.7158703,-0.44597339999999996,0.6161502618639667
resume,4,1.2063365,0.7413361,-0.46500039999999987,0.6145350820438577
resume,5,1.2399619,0.7858412,-0.45412069999999993,0.6337623760859105
resume,6,1.1518361,0.7510413,-0.4007947999999999,0.6520383412188593
resume,7,1.264797,0.7845917,-0.48020529999999995,0.6203301399354996
r1,1,0.7299754,0.6631028,-0.06687260000000006,0.9083906115192374
r1,2,0.7564448,0.7093924,-0.047052399999999994,0.9377979728329152
r1,3,0.7443998,0.7004669,-0.04393289999999994,0.9409821174051901
r1,4,0.7674602,0.767875,0.00041479999999993744,1.000540484053766
r1,5,0.7988696,0.6797498,-0.1191198,0.8508895569439618
r1,6,0.6955384,0.6585815,-0.03695689999999996,0.9468657661460532
r1,7,0.7687159,0.7966494,0.027933499999999944,1.0363378720278844
