phase,workload,repetition,order,variant,elapsed_seconds,exit_code,output_directory,log,command
warmup,fresh,0,1,before,3.650079900,0,results/speed/warm-fresh,logs\warmup-fresh-0-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-fresh --workers 1
warmup,fresh,0,2,after,1.367359300,0,results/speed/warm-fresh,logs\warmup-fresh-0-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-fresh --workers 1
measurement,fresh,1,1,before,1.553271800,0,results/speed/fresh-1,logs\measurement-fresh-1-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-1 --workers 1
measurement,fresh,1,2,after,1.033270200,0,results/speed/fresh-1,logs\measurement-fresh-1-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-1 --workers 1
measurement,fresh,2,1,after,1.021520600,0,results/speed/fresh-2,logs\measurement-fresh-2-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-2 --workers 1
measurement,fresh,2,2,before,1.483788400,0,results/speed/fresh-2,logs\measurement-fresh-2-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-2 --workers 1
measurement,fresh,3,1,before,1.513230500,0,results/speed/fresh-3,logs\measurement-fresh-3-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-3 --workers 1
measurement,fresh,3,2,after,1.396192300,0,results/speed/fresh-3,logs\measurement-fresh-3-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-3 --workers 1
measurement,fresh,4,1,after,1.046048100,0,results/speed/fresh-4,logs\measurement-fresh-4-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-4 --workers 1
measurement,fresh,4,2,before,1.532494000,0,results/speed/fresh-4,logs\measurement-fresh-4-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/fresh-4 --workers 1
