population,case_id,repetition,instance_id,greedy,optimal,first_failure_step,mechanism,one_swap,two_swap,one_swap_moves,two_swap_moves,one_swap_evaluations,two_swap_evaluations,two_swap_status,greedy_gap,one_swap_gap,two_swap_gap
pilot,overlap,0,40c0c5afc4dda1a0df30227d6cc686bac187e48a119a83447e19eceb0fab3296,32,33,1,one_step_limit,33,33,1,0,96,444,local_optimum,0.030303030303,0,0
pilot,overlap,1,8a6d7aa05716e9e275a5aae3dbf6d0073fcbe627742b8d154335ad5495acde23,34,34,,optimal,34,34,0,0,48,444,local_optimum,0,0,0
pilot,overlap,2,8b383b2c06f74afe28a978a97367fb3145be0ad2f32d5d8c913f0148abafbd97,33,34,1,tie_avoidable,34,34,1,0,96,444,local_optimum,0.0294117647059,0,0
pilot,overlap,3,6fbf48a3b338a477323f8e939a4aa995161eef661988be01737974c01b46d817,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,4,a0ce61b3e540edcf79a8557ade2576e6049c480b947890a3a5cf4e8ff5b8f796,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,5,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,34,36,1,one_step_limit,36,36,1,0,96,444,local_optimum,0.0555555555556,0,0
pilot,overlap,6,4fe832b7d0ef10ecdf008468d3ef30666f40dce726aea19ab7a8a03ab1bb4dd1,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,7,cdff6e615ac8f928634d1971106a3cbe59516225b082752cf9d1d0e38c3c5f6a,33,33,,optimal,33,33,0,0,48,444,local_optimum,0,0,0
pilot,overlap,8,a28a1bf8ba4bbf6fc9a95bb82bb92268498c1f3d71d40cfa6841fe70599d03d2,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,9,e079a5e27481ede58a7627b4f9edbc88d0ef8391c65ab63f06276292001eeb47,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,10,a019405646cf06be4418ddc50faf6299d278fc9ee83e9379163acdb0b93fd0d3,32,33,1,one_step_limit,33,33,1,0,96,444,local_optimum,0.030303030303,0,0
pilot,overlap,11,c05e8ab28c79d74d3f4d10340c2606fb136b6e7060cc2a9b3cc28185c82308ed,37,37,,optimal,37,37,0,0,48,444,local_optimum,0,0,0
pilot,overlap,12,59d309d5bf775321759c9e7612a67a570066f850d0979cfcb5f0acfd08523ccc,29,29,,optimal,29,29,0,0,48,444,local_optimum,0,0,0
pilot,overlap,13,944a131ba5815f927334ca33eae075ba87010a17da7322a081723c245d2a26c1,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,14,918cd88375b95551efaebece7405d1108afb85e879e9059db8e2478d040cbe15,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,15,28940c81d5ad0057765cfc874e9ac97f2feba2fd3db41a891206229a134d7632,35,36,1,tie_avoidable,36,36,1,0,96,444,local_optimum,0.0277777777778,0,0
pilot,overlap,16,0b13825350786855767a1829c8b2fbc8fde64a4288af3622a9edd71b8b48a7bb,31,33,1,tie_avoidable,33,33,2,0,144,444,local_optimum,0.0606060606061,0,0
pilot,overlap,17,f45b89977b84c81bec6b227e805632f462b2aa8bebfe9367fbe245bbe2b14453,33,33,,optimal,33,33,0,0,48,444,local_optimum,0,0,0
pilot,overlap,18,89068cf24251b4c2c2ccbb49b2a9027bbed779bdcef2872a90d0b58d40f440d0,35,36,1,tie_avoidable,36,36,1,0,96,444,local_optimum,0.0277777777778,0,0
pilot,overlap,19,51887cf94427b4aa2fe8814f5f9f646b687dc68d9db21989cf5b3d03d5c8b906,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap,20,2e7acfe052238af3077c2345101ca01d2436ac5f6aab714ec122385d866f87a3,30,30,,optimal,30,30,0,0,48,444,local_optimum,0,0,0
pilot,overlap,21,5598172e6414ecb003525c6979d338a9f75ee028c0bb884aebcfb2ed21ec5ca1,31,32,3,tie_avoidable,31,32,0,1,48,888,local_optimum,0.03125,0.03125,0
pilot,overlap,22,242ff00f643109291ee98b9c5608e2e27bf9e644043b8f91eb120a7d06783512,34,35,2,tie_avoidable,34,35,0,1,48,888,local_optimum,0.0285714285714,0.0285714285714,0
pilot,overlap,23,c619c52d7dfe38b347f8d1061e34d3b538efa89a9c21cb64b833b3f916825dc6,33,35,1,tie_avoidable,35,35,1,0,96,444,local_optimum,0.0571428571429,0,0
pilot,overlap,24,6d4fd619ff64b9c416ea081b00cb06c4c0232633e7ffb7a1362b3f70975f620e,36,36,,optimal,36,36,0,0,48,444,local_optimum,0,0,0
pilot,overlap,25,c304bb37fda9f5bd26d6d6ce076a1eb2856ff42894fd5d32029caf556b3b0560,34,36,1,one_step_limit,36,36,2,0,144,444,local_optimum,0.0555555555556,0,0
pilot,overlap,26,e8dec0c9ac610d3fc8c3a98383f8bba47b90e752783ffff1dc1e3c38177a007a,33,34,1,tie_avoidable,34,34,1,0,96,444,local_optimum,0.0294117647059,0,0
pilot,overlap,27,38a472d3d5cfee79f115e0e0f68d872da8547783737d01b38e462ddf0c13ff5c,34,34,,optimal,34,34,0,0,48,444,local_optimum,0,0,0
pilot,overlap,28,c11aec739757a8a5fea07774dacb86e363a14c132d6dc6f1240b95f4ee7516c1,33,33,,optimal,33,33,0,0,48,444,local_optimum,0,0,0
pilot,overlap,29,df67c746a4d18cc703ad6a2f4cb1b02775d58ef4915fb0af157647b42167c29b,32,32,,optimal,32,32,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,0,a09c34b66aa71b8293881ecadd3e2b10828a19e24bdfa0105f203c3ffdb60dd9,46,48,1,one_step_limit,47,48,1,1,96,888,local_optimum,0.0416666666667,0.0208333333333,0
pilot,overlap_control,1,f605f95c8641588bea61a29e52a2c2172490a381d959098567d6b16bb5f6be0f,47,48,2,one_step_limit,47,47,0,0,48,444,local_optimum,0.0208333333333,0.0208333333333,0.0208333333333
pilot,overlap_control,2,adef023aa611b4a54987b7897cf8cc3981565fb76ef3ab4386fbe90d3f9ba926,46,46,,optimal,46,46,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,3,c584841fc576f1648f2472b1d92048108ff4e12393c7eafbffcaf525690a4b38,47,48,2,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,4,1c691bb8cb1d3846acd861a1a2f28ed47da363130e9ed1bcc9f1f8943329bd77,47,48,2,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,5,0c90388243a099057a60d2a6ea29c7af7f41959f738addbd5d3d1241a50891c8,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,6,16019fba3fa1d3378da2191ce2d33e3554ec55aba327b062f4986b00e83508f2,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,7,ba9895990e3a322b4da13d00898ace713773630803cae54d27fef4a759c9566f,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,8,8f1a406694a849ad32c641237e83de5be58775677007e8d5b8f8cbf6c8d46a1c,47,48,3,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,9,964e90efb8499d7a8532a00bcf62b0f0bc1b1a898670ae6d5b4b022b8e465d2f,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,10,877cd1c7d11b66b352ef7f72ad8ba1f08db0e66687fa5b86a109764a9ebbeb48,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,11,ce66a719f5bd81c704fa6b052ef79fdc7e8f22754c5a7c3d958af8ce3414c1d1,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,12,8c2e5ee993efa4a942e4e63ed6be07cc2dd05a036a50e3019100e612df111514,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,13,9fd4ef799456aff8334019d6c48c07635266692a13320a3fe1d2c9c74b6e9b56,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,14,c30d9a2d05ee2d7cabdbf84a8e7d7cdf2021beac465bc360c46fce662f817bef,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,15,91f41fdf2ac2721f3cde308da50b8076ebb3ab7b0e99bc95972570cb3106b4ea,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,16,761339b7106565ffa341e6ef9526d83e7b74cdfe57d264a6f73557de6f1678b1,47,48,1,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,17,bfb7c37422748eaf7b45da0af2722431a8784ad2e56ab495ed2635d766c74cd9,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,18,79b14664b544fc4f174b1ed3e9cc6be721c48381ce05ee49ad961ea91640e3bf,47,48,1,one_step_limit,47,47,0,0,48,444,local_optimum,0.0208333333333,0.0208333333333,0.0208333333333
pilot,overlap_control,19,3800e6a0173a04c2846b8a6b1132886b262f35947364f584e6fa4a31c00a08fe,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,20,7f641e6fb16260633a1f0307736dd12d96db8956e151bd10ab37790f3626d9f3,47,47,,optimal,47,47,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,21,d8e405ff6ec97b26811e11327cfd6fbf3d6c173e1eb89894d3624b1d6a4655a1,46,47,3,one_step_limit,46,47,0,1,48,888,local_optimum,0.0212765957447,0.0212765957447,0
pilot,overlap_control,22,23fc168f4bd5406de935683ceb3fd3f210f8f597899c864a1723e37f1d7ed765,47,48,1,one_step_limit,47,48,0,1,48,888,local_optimum,0.0208333333333,0.0208333333333,0
pilot,overlap_control,23,6535c24452fd224fe455f971ed192e1715136842f59ec429774a1faf483c4cbd,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
pilot,overlap_control,24,e0abe923771966c283e8f3d7de2ccd2460ae981a6e68519995ac2bdb1257eee5,48,48,,optimal,48,48,0,0,48,444,local_optimum,0,0,0
