case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
dev_pair,dev,paired,1,0,1,75,21,75,3,1,0.0,0.00031319999834522605
dev_pair,dev,paired,1,0,2,75,21,75,3,1,0.0,0.00028160000510979444
dev_pair,dev,paired,1,0,4,75,21,75,3,1,0.0,0.0002803999959724024
dev_pair,dev,paired,1,1/2,1,75,21,75,3,1,0.0,0.00013029999536229298
dev_pair,dev,paired,1,1/2,2,75,21,75,3,1,0.0,0.0001747999995131977
dev_pair,dev,paired,1,1/2,4,75,21,75,3,1,0.0,0.0001686000032350421
dev_pair,dev,paired,5,0,1,75,21,75,3,1,0.0,0.0002435000060359016
dev_pair,dev,paired,5,0,2,75,21,75,3,1,0.0,0.0039546999978483655
dev_pair,dev,paired,5,0,4,75,21,75,3,1,0.0,0.0036147999999229796
dev_pair,dev,paired,5,1/4,1,75,21,75,3,1,0.0,0.00022599999647354707
dev_pair,dev,paired,5,1/4,2,75,21,75,3,1,0.015625,0.004374999996798579
dev_pair,dev,paired,5,1/4,4,75,21,75,3,1,0.0,0.004530400001385715
dev_pair,dev,paired,5,1/2,1,75,21,75,3,1,0.0,0.0003728000010596588
dev_pair,dev,paired,5,1/2,2,75,21,75,3,1,0.0,0.003908799997589085
dev_pair,dev,paired,5,1/2,4,75,21,75,3,1,0.0,0.004136099996685516
dev_pair,dev,paired,5,1,1,129,39,75,0,0,0.015625,0.00467439999920316
dev_pair,dev,paired,5,1,2,75,21,75,3,1,0.0,0.004128500004298985
dev_pair,dev,paired,5,1,4,75,21,75,3,1,0.0,0.0037460999956238084
dev_uniform,dev,uniform,1,0,1,121,61,91,1,1,0.0,0.0001768000001902692
dev_uniform,dev,uniform,1,0,2,121,61,91,1,1,0.0,0.00016739999409765005
dev_uniform,dev,uniform,1,0,4,121,61,91,1,1,0.0,0.00016150000010384247
dev_uniform,dev,uniform,1,1/2,1,121,61,91,1,1,0.0,0.00017759999900590628
dev_uniform,dev,uniform,1,1/2,2,121,61,91,1,1,0.0,0.00014769999688724056
dev_uniform,dev,uniform,1,1/2,4,121,61,91,1,1,0.0,0.00015220000204863027
dev_uniform,dev,uniform,5,0,1,91,31,91,5,1,0.015625,0.003889200001140125
dev_uniform,dev,uniform,5,0,2,91,31,91,5,1,0.0,0.005883700003323611
dev_uniform,dev,uniform,5,0,4,91,31,91,5,1,0.0,0.004636300000129268
dev_uniform,dev,uniform,5,1/4,1,91,31,91,5,1,0.0,0.004326900001615286
dev_uniform,dev,uniform,5,1/4,2,91,31,91,5,1,0.015625,0.005522800005564932
dev_uniform,dev,uniform,5,1/4,4,91,31,91,5,1,0.0,0.004709699998784345
dev_uniform,dev,uniform,5,1/2,1,91,31,91,5,1,0.0,0.003985600000305567
dev_uniform,dev,uniform,5,1/2,2,91,31,91,5,1,0.015625,0.004262300004484132
dev_uniform,dev,uniform,5,1/2,4,91,31,91,5,1,0.0,0.005619199997454416
dev_uniform,dev,uniform,5,1,1,129,69,91,0,0,0.0,0.0040540999980294146
dev_uniform,dev,uniform,5,1,2,91,31,91,5,1,0.015625,0.003953100000217091
dev_uniform,dev,uniform,5,1,4,91,31,91,5,1,0.0,0.004810200000065379
dev_cluster,dev,clustered,1,0,1,23,8,21,1,1,0.0,0.00019240000256104395
dev_cluster,dev,clustered,1,0,2,23,8,21,1,1,0.0,0.00020990000484744087
dev_cluster,dev,clustered,1,0,4,23,8,21,1,1,0.0,0.00017099999968195334
dev_cluster,dev,clustered,1,1/2,1,23,8,21,1,1,0.0,0.0001674999948590994
dev_cluster,dev,clustered,1,1/2,2,23,8,21,1,1,0.0,0.0001660999987507239
dev_cluster,dev,clustered,1,1/2,4,23,8,21,1,1,0.0,0.00017049999587470666
dev_cluster,dev,clustered,5,0,1,21,6,21,2,1,0.0,0.005109199999424163
dev_cluster,dev,clustered,5,0,2,21,6,21,2,1,0.015625,0.005165099995792843
dev_cluster,dev,clustered,5,0,4,21,6,21,2,1,0.0,0.0041226999965147115
dev_cluster,dev,clustered,5,1/4,1,21,6,21,2,1,0.0,0.005647200006933417
dev_cluster,dev,clustered,5,1/4,2,21,6,21,2,1,0.015625,0.00397549999615876
dev_cluster,dev,clustered,5,1/4,4,21,6,21,2,1,0.0,0.003862400000798516
dev_cluster,dev,clustered,5,1/2,1,21,6,21,2,1,0.0,0.0049046999993151985
dev_cluster,dev,clustered,5,1/2,2,21,6,21,2,1,0.0,0.004274999999324791
dev_cluster,dev,clustered,5,1/2,4,21,6,21,2,1,0.015625,0.003973200000473298
dev_cluster,dev,clustered,5,1,1,21,6,21,2,1,0.0,0.0038328000009641983
dev_cluster,dev,clustered,5,1,2,21,6,21,2,1,0.0,0.004264799994416535
dev_cluster,dev,clustered,5,1,4,21,6,21,2,1,0.015625,0.004141400000662543
dev_alternate,dev,near_far,1,0,1,60,18,60,0,0,0.0,0.00018940000154543668
dev_alternate,dev,near_far,1,0,2,60,18,60,0,0,0.0,0.00015980000171111897
dev_alternate,dev,near_far,1,0,4,60,18,60,0,0,0.0,0.00018229999841423705
dev_alternate,dev,near_far,1,1/2,1,60,18,60,0,0,0.0,0.00020000000222353265
dev_alternate,dev,near_far,1,1/2,2,60,18,60,0,0,0.0,0.00018120000459020957
dev_alternate,dev,near_far,1,1/2,4,60,18,60,0,0,0.0,0.00015780000103404745
dev_alternate,dev,near_far,5,0,1,60,18,60,0,0,0.0,0.003633800006355159
dev_alternate,dev,near_far,5,0,2,60,18,60,0,0,0.0,0.003650200000265613
dev_alternate,dev,near_far,5,0,4,60,18,60,0,0,0.0,0.004780799994478002
dev_alternate,dev,near_far,5,1/4,1,60,18,60,0,0,0.015625,0.004271999998309184
dev_alternate,dev,near_far,5,1/4,2,60,18,60,0,0,0.0,0.003901799995219335
dev_alternate,dev,near_far,5,1/4,4,60,18,60,0,0,0.0,0.00449809999554418
dev_alternate,dev,near_far,5,1/2,1,60,18,60,0,0,0.015625,0.006527400000777561
dev_alternate,dev,near_far,5,1/2,2,60,18,60,0,0,0.0,0.0044320000015432015
dev_alternate,dev,near_far,5,1/2,4,60,18,60,0,0,0.0,0.004191799998807255
dev_alternate,dev,near_far,5,1,1,60,18,60,0,0,0.0,0.004560499997751322
dev_alternate,dev,near_far,5,1,2,60,18,60,0,0,0.015625,0.004119800003536511
dev_alternate,dev,near_far,5,1,4,60,18,60,0,0,0.0,0.0044463000012910925
dev_budget,dev,budget_lock,1,0,1,37,10,21,1,1,0.0,0.00012840000272262841
dev_budget,dev,budget_lock,1,0,2,21,6,21,2,2,0.0,0.00013469999976223335
dev_budget,dev,budget_lock,1,0,4,21,6,21,2,2,0.0,0.0001511999944341369
dev_budget,dev,budget_lock,1,1/2,1,22,6,21,0,0,0.0,0.00014940000255592167
dev_budget,dev,budget_lock,1,1/2,2,21,6,21,2,2,0.0,0.0001430000047548674
dev_budget,dev,budget_lock,1,1/2,4,21,6,21,2,2,0.0,0.00016480000340379775
dev_budget,dev,budget_lock,5,0,1,37,10,21,1,1,0.0,0.0007024000005912967
dev_budget,dev,budget_lock,5,0,2,21,6,21,2,2,0.0,0.0008241000032285228
dev_budget,dev,budget_lock,5,0,4,21,6,21,2,2,0.015625,0.00477110000065295
dev_budget,dev,budget_lock,5,1/4,1,37,10,21,1,1,0.0,0.0008080999978119507
dev_budget,dev,budget_lock,5,1/4,2,21,6,21,3,2,0.0,0.0011847999994643033
dev_budget,dev,budget_lock,5,1/4,4,21,6,21,3,2,0.0,0.004399500001454726
dev_budget,dev,budget_lock,5,1/2,1,22,6,21,0,0,0.0,0.003993700003775302
dev_budget,dev,budget_lock,5,1/2,2,21,6,21,3,2,0.0,0.0008116000026348047
dev_budget,dev,budget_lock,5,1/2,4,21,6,21,3,2,0.015625,0.004351600000518374
dev_budget,dev,budget_lock,5,1,1,22,6,21,0,0,0.0,0.004446099999768194
dev_budget,dev,budget_lock,5,1,2,22,6,21,0,0,0.0,0.003739699997822754
dev_budget,dev,budget_lock,5,1,4,21,6,21,3,2,0.0,0.003818899996986147
dev_nested,dev,nested,1,0,1,147,130,147,1,1,0.0,0.00016950000281212851
dev_nested,dev,nested,1,0,2,147,130,147,1,1,0.0,0.00015159999747993425
dev_nested,dev,nested,1,0,4,147,130,147,1,1,0.015625,0.00022360000002663583
dev_nested,dev,nested,1,1/2,1,151,134,147,0,0,0.0,0.00016390000382671133
dev_nested,dev,nested,1,1/2,2,151,134,147,0,0,0.0,0.0001523000028100796
dev_nested,dev,nested,1,1/2,4,151,134,147,0,0,0.0,0.00017939999816007912
