n,d,k,lambda,count,failures,failure_rate,failure_lower,failure_upper,mean_greedy,mean_optimum,ratio_of_means,ratio_of_means_lower,ratio_of_means_upper,mean_ratio,mean_ratio_lower,mean_ratio_upper,mean_relative_gap,mean_relative_gap_lower,mean_relative_gap_upper,mean_absolute_loss,mean_absolute_loss_lower,mean_absolute_loss_upper
12,2,1,0.16666666666666666,200,0,0.0,0.0,0.018275340355136237,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,2,0.3333333333333333,200,0,0.0,0.0,0.018275340355136237,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,3,0.5,200,1,0.005,0.00012658102786701825,0.02754189845720562,5.995,6.0,0.9991666666666666,0.9975,1.0,0.9991666666666668,0.9975,1.0,0.0008333333333333333,0.0,0.0025,0.005,0.0,0.015
12,2,5,0.8333333333333334,200,107,0.535,0.46329985778832117,0.6056472647385431,9.02,9.615,0.9381175247009881,0.9295336787564766,0.9464378575143005,0.9390416666666668,0.9305416666666667,0.9473194444444445,0.06095833333333333,0.05268055555555556,0.06945833333333333,0.595,0.515,0.68
12,2,6,1.0,200,91,0.455,0.38461304203891705,0.5267407524810115,9.905,10.405,0.9519461797212878,0.9444976076555024,0.9593023255813954,0.9540681818181818,0.9466590909090908,0.9612882575757575,0.045931818181818185,0.038711742424242426,0.05334090909090909,0.5,0.42,0.58
12,2,9,1.5,200,0,0.0,0.0,0.018275340355136237,10.605,10.605,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,12,2.0,200,0,0.0,0.0,0.018275340355136237,10.605,10.605,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,1,0.25,200,0,0.0,0.0,0.018275340355136237,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,2,0.5,200,1,0.005,0.00012658102786701825,0.02754189845720562,5.995,6.0,0.9991666666666666,0.9975,1.0,0.9991666666666665,0.9975,1.0,0.0008333333333333333,0.0,0.0025,0.005,0.0,0.015
12,3,3,0.75,200,82,0.41,0.34113064567146767,0.4815784147872211,8.56,8.975,0.9537604456824512,0.9459610027855153,0.9614955357142857,0.9538888888888889,0.9461111111111111,0.9616666666666667,0.04611111111111111,0.03833333333333334,0.053888888888888896,0.415,0.345,0.485
12,3,4,1.0,200,98,0.49,0.41882251520548525,0.5614782774378337,10.255,10.79,0.9504170528266914,0.943002780352178,0.9577922077922078,0.9509696969696969,0.9436666666666667,0.9582651515151513,0.049030303030303035,0.041734848484848486,0.05633333333333334,0.535,0.455,0.615
12,3,6,1.5,200,7,0.035,0.014185525898419246,0.0707809983509772,11.545,11.58,0.9969775474956822,0.9947848761408083,0.9991315769437208,0.9970833333333333,0.995,0.9991666666666665,0.0029166666666666664,0.0008333333333333333,0.005,0.035,0.01,0.06
12,3,8,2.0,200,0,0.0,0.0,0.018275340355136237,11.58,11.58,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
