base_graph_id,repetition,low_first_loss,high_first_loss,difference,low_failure,high_failure,low_relative_gap,high_relative_gap,low_exposure,high_exposure
r3-confirm-r0000,0,0.0,1.0,1.0,0.0,1.0,0.0,0.09090909090909091,1.5,12.0
r3-confirm-r0001,1,0.5,0.5,0.0,1.0,1.0,0.09090909090909091,0.14090909090909093,4.0,13.0
r3-confirm-r0002,2,0.0,0.5,0.5,0.5,1.0,0.041666666666666664,0.09090909090909091,1.0,11.0
r3-confirm-r0003,3,0.0,0.0,0.0,0.0,1.0,0.0,0.09090909090909091,2.0,10.5
r3-confirm-r0004,4,0.5,1.0,0.5,1.0,1.0,0.09090909090909091,0.09090909090909091,5.0,11.0
r3-confirm-r0005,5,0.0,0.5,0.5,0.0,0.5,0.0,0.045454545454545456,1.5,10.5
r3-confirm-r0006,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,11.0
r3-confirm-r0007,7,0.0,1.0,1.0,0.0,1.0,0.0,0.13636363636363635,2.0,11.0
r3-confirm-r0008,8,0.0,1.0,1.0,0.5,1.0,0.041666666666666664,0.12878787878787878,3.5,10.0
r3-confirm-r0009,9,0.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.09545454545454546,3.0,12.0
r3-confirm-r0010,10,0.0,1.0,1.0,0.5,1.0,0.08333333333333333,0.13636363636363635,2.5,11.0
r3-confirm-r0011,11,0.0,0.5,0.5,0.0,0.5,0.0,0.045454545454545456,2.0,11.0
r3-confirm-r0012,12,0.0,1.0,1.0,0.5,1.0,0.045454545454545456,0.08712121212121213,1.5,13.0
r3-confirm-r0013,13,0.0,0.5,0.5,0.0,0.5,0.0,0.041666666666666664,4.0,10.5
r3-confirm-r0014,14,0.0,1.0,1.0,0.5,1.0,0.041666666666666664,0.125,2.5,11.0
r3-confirm-r0015,15,0.0,1.0,1.0,0.5,1.0,0.045454545454545456,0.09545454545454546,1.0,14.0
r3-confirm-r0016,16,0.0,0.5,0.5,0.0,0.5,0.0,0.045454545454545456,2.0,10.0
r3-confirm-r0017,17,0.0,1.0,1.0,0.0,1.0,0.0,0.14090909090909093,2.0,13.0
r3-confirm-r0018,18,0.0,0.5,0.5,0.0,0.5,0.0,0.09090909090909091,3.0,14.0
r3-confirm-r0019,19,0.0,0.5,0.5,0.5,0.5,0.041666666666666664,0.045454545454545456,2.0,11.0
