base_graph_id,direction,replica,chain_seed,instance_id,exposure,greedy,optimum,forced_optimum,first_loss,accepted,legal,proposals
r3-confirm-r0000,-1,0,12070302129073628358,2c85edc413d01958dedc1a6c6a98a575d07d8e4b20ffc0217af799744090ab73,2,11,11,11,0,140,164,2048
r3-confirm-r0000,-1,1,10192928123821263824,ff6c65776d1e2a6942aef72ec9c13fe13c8c32d2fa367c0e76b881b1702b5542,1,11,11,11,0,142,171,2048
r3-confirm-r0000,1,0,941335315608196937,f941280aab3d1cb6427f339584bea1a24e0fc35ff8f53706d33d88ebb0c1e6b1,12,10,11,10,1,146,175,2048
r3-confirm-r0000,1,1,5858019449308881568,f62700144a0b1246011dc7157b000a3a890d45b1edd02db4b5721cf235f72bc6,12,10,11,10,1,142,152,2048
r3-confirm-r0001,-1,0,3330938692052181555,b0053488abe60db866fc4fb99a56ef06f5a02e6dc52f29b785014e8ac3fb4282,5,10,11,10,1,141,159,2048
r3-confirm-r0001,-1,1,11770047222305502254,d0a2dd1452852f7b6a57a83b789f6e9b1c943fb0ac84103fe5c811d14c47bc9c,3,10,11,11,0,157,175,2048
r3-confirm-r0001,1,0,8377864882571391397,41d26c9f5fde384cf92c99f32e11b4dcd4d424b93f8eefb01f0c7dd877dd2d8f,13,9,10,10,0,147,161,2048
r3-confirm-r0001,1,1,17656002402372616963,a3df73aa9c503779775abb0a82d82cfe32b49c4c7d638be07564d5c545a35683,13,9,11,9,1,122,144,2048
r3-confirm-r0002,-1,0,15502503615008995243,d2ab0002be593a7aa0797e9a4f5b3a2c0dd45460ed473b11f345db8d4d8ea988,1,11,12,12,0,137,173,2048
r3-confirm-r0002,-1,1,3869678169377656626,2e7cf8c8337f9d78762a80a6943070c8731b621f7edbbf8a118bbdf2145c6f9f,1,11,11,11,0,155,194,2048
r3-confirm-r0002,1,0,1565516498178603747,228fa9085a2efce25e0a3006ced219316f36f549337d924f668d91f8cc6a25a9,11,10,11,10,1,166,186,2048
r3-confirm-r0002,1,1,1961075587352845206,5b6e0106bdbffb5a269d924afe0aefe376106e6051dee3c64c1385de051777e3,11,10,11,11,0,161,181,2048
r3-confirm-r0003,-1,0,13428964814892713570,2d07a408cb60e82a49e3f559406fc3e2b76a4b5661eea880da56d31a05fcda18,3,11,11,11,0,152,172,2048
r3-confirm-r0003,-1,1,328144046111654562,f3d104f09af53b46365569d5171c34e901a9cb8bd9b821873e5d7c7c6e940003,1,11,11,11,0,155,194,2048
r3-confirm-r0003,1,0,1590657355086230345,30260c4c984ed6f8589abd5af55fb9bc0594988021feb0616852ffa302db3655,11,10,11,11,0,166,183,2048
