n,d,k,count,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening_missing,tightening_mean,tightening_median,tightening_p90,upper_over_optimum_missing,upper_over_optimum_mean,upper_over_optimum_median,upper_over_optimum_p90,relative_upper_slack_missing,relative_upper_slack_mean,relative_upper_slack_median,relative_upper_slack_p90,greedy_ratio_missing,greedy_ratio_mean,greedy_ratio_median,greedy_ratio_p90,certified_ratio_missing,certified_ratio_mean,certified_ratio_median,certified_ratio_p90,relative_gap_bound_missing,relative_gap_bound_mean,relative_gap_bound_median,relative_gap_bound_p90
12,2,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,2,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,3,200,199,199,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.0008333333333333332,0.0,0.0
12,2,5,200,67,67,0,0,0.0,0.0,0,0,1.0239583333333333,1.0,1.1111111111111112,0,0.02395833333333333,0.0,0.1111111111111111,0,0.9390416666666667,0.9,1.0,0,0.9184305555555555,0.9,1.0,0,0.08156944444444443,0.09999999999999998,0.19999999999999996
12,2,6,200,88,88,0,0,0.0,0.0,0,0,1.0188181818181818,1.0,1.0909090909090908,0,0.018818181818181817,0.0,0.09090909090909091,0,0.9540681818181818,1.0,1.0,0,0.9377272727272726,0.9166666666666666,1.0,0,0.06227272727272728,0.08333333333333337,0.16666666666666663
12,2,9,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,12,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,2,200,199,199,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.0008333333333333332,0.0,0.0
12,3,3,200,113,113,0,0,0.0,0.0,0,0,1.003125,1.0,1.0,0,0.003125,0.0,0.0,0,0.9538888888888889,1.0,1.0,0,0.9511111111111111,1.0,1.0,0,0.04888888888888891,0.0,0.11111111111111116
12,3,4,200,19,19,0,0,0.005,0.0,0,0,1.0743484848484848,1.0909090909090908,1.1,0,0.07434848484848486,0.09090909090909091,0.1,0,0.9509696969696969,1.0,1.0,0,0.8869469696969696,0.9090909090909091,0.9166666666666666,0,0.1130530303030303,0.09090909090909094,0.16666666666666663
12,3,6,200,193,193,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9970833333333333,1.0,1.0,0,0.9970833333333333,1.0,1.0,0,0.002916666666666668,0.0,0.0
12,3,8,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,12,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,2,200,162,162,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.97625,1.0,1.0,0,0.97625,1.0,1.0,0,0.02375,0.0,0.125
12,4,3,200,3,3,0,0,0.0,0.0,0,0,1.093,1.0909090909090908,1.1,0,0.09300000000000001,0.09090909090909091,0.1,0,0.9409545454545455,0.9090909090909091,1.0,0,0.8614015151515152,0.8333333333333334,0.9166666666666666,0,0.13859848484848483,0.16666666666666663,0.16666666666666663
12,4,5,200,197,197,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.99875,1.0,1.0,0,0.99875,1.0,1.0,0,0.0012500000000000005,0.0,0.0
12,4,6,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,12,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,2,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,4,200,199,199,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.999375,1.0,1.0,0,0.999375,1.0,1.0,0,0.000625,0.0,0.0
16,2,6,200,97,97,0,0,0.0,0.0,0,0,1.0078181818181817,1.0,1.0,0,0.007818181818181818,0.0,0.0,0,0.953030303030303,1.0,1.0,0,0.9461742424242423,0.9166666666666666,1.0,0,0.05382575757575759,0.08333333333333337,0.16666666666666663
16,2,8,200,81,81,0,0,0.0,0.0,0,0,1.0172802197802198,1.0,1.0714285714285714,0,0.017280219780219777,0.0,0.07142857142857142,0,0.9595320512820513,1.0,1.0,0,0.9441733058608058,0.9333333333333333,1.0,0,0.055826694139194125,0.06666666666666665,0.1333333333333333
16,2,12,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,16,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,2,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,3,200,192,192,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9955555555555555,1.0,1.0,0,0.9955555555555555,1.0,1.0,0,0.004444444444444446,0.0,0.0
16,3,4,200,82,82,0,0,0.0,0.0,0,0,1.0036363636363637,1.0,1.0,0,0.0036363636363636364,0.0,0.0,0,0.9499242424242423,0.9166666666666666,1.0,0,0.9466666666666668,0.9166666666666666,1.0,0,0.05333333333333335,0.08333333333333337,0.08333333333333337
16,3,6,200,51,51,0,0,0.0,0.0,0,0,1.0222619047619048,1.0,1.0666666666666667,0,0.022261904761904764,0.0,0.06666666666666667,0,0.94975,0.9375,1.0,0,0.930044642857143,0.9333333333333333,1.0,0,0.06995535714285714,0.06666666666666665,0.1333333333333333
16,3,8,200,193,193,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9977708333333334,1.0,1.0,0,0.9977708333333334,1.0,1.0,0,0.0022291666666666666,0.0,0.0
16,3,11,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,16,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,2,200,197,197,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.998125,1.0,1.0,0,0.998125,1.0,1.0,0,0.001875,0.0,0.0
16,4,3,200,83,83,0,0,0.0,0.0,0,0,1.0013636363636365,1.0,1.0,0,0.0013636363636363635,0.0,0.0,0,0.9499621212121212,0.9166666666666666,1.0,0,0.94875,0.9166666666666666,1.0,0,0.05125000000000002,0.08333333333333337,0.08333333333333337
16,4,4,200,1,1,0,0,0.0,0.0,0,0,1.0927765567765568,1.0714285714285714,1.1428571428571428,0,0.09277655677655677,0.07142857142857142,0.14285714285714285,0,0.9460803571428572,0.9333333333333333,1.0,0,0.8663839285714287,0.875,0.9333333333333333,0,0.13361607142857143,0.125,0.1875
16,4,6,200,182,182,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9943541666666667,1.0,1.0,0,0.9943541666666667,1.0,1.0,0,0.005645833333333333,0.0,0.0
16,4,8,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,16,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,1,200,200,200,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,3,200,200,200,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,5,200,199,199,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9995,1.0,1.0,0,0.9995,1.0,1.0,0,0.0004999999999999999,0.0,0.0
20,2,8,200,41,41,0,0,0.0,0.0,0,0,1.0242857142857142,1.0,1.0666666666666667,0,0.024285714285714285,0.0,0.06666666666666667,0,0.9456279761904761,0.9375,1.0,0,0.9241458333333334,0.9375,1.0,0,0.07585416666666667,0.0625,0.125
