base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-exploration-n12-d2-r0000,731b6d302081326872d9722256ce34bdd6670d504da34985d501ec1caf919040,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0000,19a43043983241baedc57af0a42be9aeabc3117c245a659179c4acfdb071fff0,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0000,8342dcec4c2cf58ecbedd342373d5abb84a54c27b637a7868e1a6db88c53ede4,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0000,1f041a217fd982fa8d8e023f9b7677f1d0ad36e0559c743b1d8bd7ca659754b4,12,2,5,9,10,10,10,10,interior,0,0,0.9,0.9,0.9,0.0,0.0,1.0,0,0,0
r2-exploration-n12-d2-r0000,d39c3b33b5818bc3ffbc874875583e5b93e5506400c50f11fb3dfc906da05dc8,12,2,6,10,11,11,11,11,interior,0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,1.0,0,0,0
r2-exploration-n12-d2-r0000,50da5cf29f17016570a9ab19d1110a034a5bd9f027870fa0a92835676b631071,12,2,9,11,11,11,11,11,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0000,6e23d6044dcf494c30870bd19a048bb95e4a27e1fc207ee736ceea39d420602f,12,2,12,11,11,11,11,11,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0001,0cd4ac5ee2f0a2ec33098a711f5eededdcbbcd11f6fe7252e329c1a8ada10a39,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0001,6cc8768db30ef7bd01ff34f329456e9cbb6756f7e96298cf070c4ce70d0f55b5,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0001,26459d9c0a4897fa87fcbb9fbed914de49ecbfeb82ec83cd1e2dcc821b124333,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0001,98134602dbc7a5c2a7b94f07004e95f660ed29183e72ab6821030b8452f5cccf,12,2,5,8,9,10,10,10,interior,0,0,0.8,0.8,0.8,0.0,0.0,1.1111111111111112,0,0,0
r2-exploration-n12-d2-r0001,b275a7cd7b36304c43fbf455d3c8f80ac23de2a8e9bbab6cec520f21b5db7d2c,12,2,6,9,10,10,10,10,interior,0,0,0.9,0.9,0.9,0.0,0.0,1.0,0,0,0
r2-exploration-n12-d2-r0001,f0af19c89f4504ba31d92b0ec8e76b1f78fad8c727c08a0eebb980c4a80f18f5,12,2,9,10,10,10,10,10,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0001,4bdea10505747d51099322f8f6ed542ce0be9fae256790fdb42edc6edf0bab43,12,2,12,10,10,10,10,10,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,139d1d6f93e134fd75fae7feee49596fec37b8f529deab70c1a47a1531a1b097,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,2f8ecd0bd69b9babb7eb62aa374ba089e9bceb1c25db8fd180449ab0a7f22c12,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,f5b2ffa4fc24d4ec11d56543ef0ac4a7d4c6cd6371f36af7df6997147183ba9c,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,086fb5cc24f64537830db00abb9b575f5f1eb6d306f8f37848f9dfc7136923f5,12,2,5,10,10,10,10,10,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,9714b37667f0f9ef8c6cac9929284d21f81afcc4bfbfd2aa6284555c450f3bfb,12,2,6,11,11,11,11,11,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,39b40c9bbee9c6088aa2f117f594dd701d8f56a8da32a17003458e7c7884228f,12,2,9,11,11,11,11,11,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0002,58c771ecaaf57d6968ae3456de9d3d9df32d971159657fbc696e8fa585c8c198,12,2,12,11,11,11,11,11,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0003,a3ddb9eebfbc2c4fdcaca70427a6fb46a64747ef7210d4b8678d58a7869fadd1,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0003,af22189e2d5707a3933711633c6763ecce44af759ee45e2a8871db023909d94f,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0003,1ca45d0abeb95bb3a7d2301bb596b259e4ff4fdee563c5aacb5ebb5a557741b1,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-exploration-n12-d2-r0003,ff5b0405dd004276141b946f67bec2dee0defdcfb869036c9d748881ca843196,12,2,5,8,9,9,9,9,interior,0,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0,1.0,0,0,0
