n,d,k,count,endpoint,tightened_initial,tightened_prefix,initial_certified,prefix_certified,dual_certified,tightening_initial_missing,tightening_initial_mean,tightening_initial_median,tightening_initial_p90,tightening_prefix_missing,tightening_prefix_mean,tightening_prefix_median,tightening_prefix_p90,ratio_gain_initial_missing,ratio_gain_initial_mean,ratio_gain_initial_median,ratio_gain_initial_p90,ratio_gain_prefix_missing,ratio_gain_prefix_mean,ratio_gain_prefix_median,ratio_gain_prefix_p90,dual_over_optimum_missing,dual_over_optimum_mean,dual_over_optimum_median,dual_over_optimum_p90,dual_ratio_missing,dual_ratio_mean,dual_ratio_median,dual_ratio_p90,prefix_ratio_missing,prefix_ratio_mean,prefix_ratio_median,prefix_ratio_p90,initial_ratio_missing,initial_ratio_mean,initial_ratio_median,initial_ratio_p90
12,2,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,2,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,3,200,interior,0,0,199,199,199,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0
12,2,5,200,interior,0,0,67,67,67,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0239583333333333,1.0,1.1111111111111112,0,0.9184305555555555,0.9,1.0,0,0.9184305555555555,0.9,1.0,0,0.9184305555555555,0.9,1.0
12,2,6,200,interior,1,1,88,88,88,0,0.005,0.0,0,0,0.005,0.0,0,0,0.00034090909090909115,0.0,0.0,0,0.00034090909090909115,0.0,0.0,0,1.0183636363636364,1.0,1.0909090909090908,0,0.9380681818181819,0.9166666666666666,1.0,0,0.9377272727272726,0.9166666666666666,1.0,0,0.9377272727272726,0.9166666666666666,1.0
12,2,9,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,12,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,2,200,interior,0,0,199,199,199,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0,0,0.9991666666666668,1.0,1.0
12,3,3,200,interior,0,0,113,113,113,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.003125,1.0,1.0,0,0.9511111111111111,1.0,1.0,0,0.9511111111111111,1.0,1.0,0,0.9511111111111111,1.0,1.0
