base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n12-d2-r0000,6db120c05291a53802659d97b533474f4318fe9728a017f00c6e972460436c0a,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0000,17d1a4b811db5326c7d58f489279d100210a1c09f0c47dd213a65d72e27fc6da,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0000,86ed0af3e5eeafc0a6b1b68e866cdd9a2898a80f61511ca47a19ff70ac0956a2,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0000,30e55962e38c6a9df95e5a0337769d3223a3c4ba4a00a75cbbc10efa394a657c,12,2,5,9,10,10,10,10,interior,0,0,0.9,0.9,0.9,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d2-r0000,852c9a087f66019e1d48c3db2aef672db5974821141f30512eff9a55fdfdb1bf,12,2,6,10,11,11,11,11,interior,0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d2-r0000,f88b51f5f9aff185fa3d9f55b1fc4a7b6fd35b503fe72743ea4bf1c63c864a8a,12,2,9,11,11,11,11,11,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0000,120a00bc8daca0443e4ae15ab3b34f4e0b8d56fbf6e6ff5c3de6ae40cf378490,12,2,12,11,11,11,11,11,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0001,d20299ca8009ad570a74c6da3ffd495e14798e41f2e3451c6ece50bd87bc4d73,12,2,1,2,2,2,2,2,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0001,a8b40a4ceceacda2e8392db8927d3d6a23003166d29f05e59ad811bcd4719d0a,12,2,2,4,4,4,4,4,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0001,fab76c2f91720cf9d818cd12557083a05e7d9960d2bdaf251f015c7d4c17bcd8,12,2,3,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0001,b480add529538dc8fd3013f19fed8d19b04f2d852fc6520ab4dd3b5eaa3760b9,12,2,5,9,10,10,10,10,interior,0,0,0.9,0.9,0.9,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d2-r0001,2bb61a292426eeeeb0389d4f82c562b0d1c913a28ff3428845fc5a1f3ed86f04,12,2,6,10,11,11,11,11,interior,0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d2-r0001,b42d158bd86c943dcd67a80a6bd0c3451c267c85c3af505f65bfe9bca16a3099,12,2,9,11,11,11,11,11,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d2-r0001,923fe2a765603d41b94dcbbf075372e47848d56563f14ca48b5c6d398546ef15,12,2,12,11,11,11,11,11,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0000,040fbe1dfbe603114e851df759afa0a0f22af9e93479156db92c62861c3daaea,12,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0000,976565ac468079c8d0e7aee1c8264a1333d790b22c71b97de62b84f79ab02a6f,12,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0000,471bb8e4066c987d6a3ed8e4f0fac79a454c523c90888d1e6fea59c6d920b352,12,3,3,8,9,9,9,9,interior,0,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d3-r0000,5cb209fed5a78e94d8ea92a36b6ad6da544aabaefe52180bb2f3c5657886213e,12,3,4,10,11,12,12,12,interior,0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0909090909090908,0,0,0
r2-preflight-n12-d3-r0000,2e6ab7b5774a23b197d9326a7ee0ff67703d246e38c2eecbdc8bf53d37f946c8,12,3,6,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0000,ea15471303d9f2ebf3e8c278e25d148d0fb01edae57eee03a06bad17472e6a12,12,3,8,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0000,438b8db870ec71e7f3689df90a28201ef965b67737a85014364df85204f8a0b3,12,3,12,12,12,12,12,12,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0001,3546fbd30100dab1fac7d94a5ca48b3d70a38d8c7e4aba09f2cc8706b4e907d0,12,3,1,3,3,3,3,3,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0001,8ccff664efcd7a75067a3004d2a2cf7ba0bb51f4ef137361bd562461f69b5ec6,12,3,2,6,6,6,6,6,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0001,2ec7767ecc53aeb17369b471a7c33acfb5364262465a2a58a0a4fe74f0328c2c,12,3,3,8,9,9,9,9,interior,0,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0,1.0,0,0,0
r2-preflight-n12-d3-r0001,9c0a038095040d9d0a9e99c75d75b5dce6b52ebfb3dc457b37763744e4a5b7b6,12,3,4,10,10,12,12,12,interior,0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,1.2,0,0,0
r2-preflight-n12-d3-r0001,2de2faefdcde9251c98b03f8b858e341c37d2d7dc2534ca6b8639308266d958b,12,3,6,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0001,4d2e2d80a1386b7dd546a3f2518f1c6de19df01e807dfcdc40069edb645b32f4,12,3,8,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d3-r0001,08996a9ba033b08b696eddb04abc4cce0785e2ce0a9e78e44d241cccfd36252b,12,3,12,12,12,12,12,12,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0000,44dd256c5405609912e0fabebd33ec1bc90a3f6a57295c871ffaf58fc883c8e8,12,4,1,4,4,4,4,4,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0000,58c0b9ea01318a5d2912d8bc4460ef566cd13932db76298bc28cb72cb4ab91c0,12,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0000,3b23fa476b34fc9cb8c4b42716a9b7f44ab41b6c4f29ce14906a5ce4c7426106,12,4,3,11,11,12,12,12,interior,0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0909090909090908,0,0,0
r2-preflight-n12-d4-r0000,feaf720a1914380ce73a8cab969f67d9ef4ea22f8c47c10c9b75cc0c7965bf80,12,4,5,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n12-d4-r0000,674bb14dbdb2a2f1945e11a998cff4557b90afc60c03dec481976217998c4cc4,12,4,6,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
