n,d,k,count,endpoint,tightened_initial,tightened_prefix,initial_certified,prefix_certified,dual_certified,tightening_initial_missing,tightening_initial_mean,tightening_initial_median,tightening_initial_p90,tightening_prefix_missing,tightening_prefix_mean,tightening_prefix_median,tightening_prefix_p90,ratio_gain_initial_missing,ratio_gain_initial_mean,ratio_gain_initial_median,ratio_gain_initial_p90,ratio_gain_prefix_missing,ratio_gain_prefix_mean,ratio_gain_prefix_median,ratio_gain_prefix_p90,dual_over_optimum_missing,dual_over_optimum_mean,dual_over_optimum_median,dual_over_optimum_p90,dual_ratio_missing,dual_ratio_mean,dual_ratio_median,dual_ratio_p90,prefix_ratio_missing,prefix_ratio_mean,prefix_ratio_median,prefix_ratio_p90,initial_ratio_missing,initial_ratio_mean,initial_ratio_median,initial_ratio_p90
12,2,1,2,k=1,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,2,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,3,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,5,2,interior,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9,0.9,0.9,0,0.9,0.9,0.9,0,0.9,0.9,0.9
12,2,6,2,interior,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0.9090909090909091,0.9090909090909091,0.9090909090909091
12,2,9,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,2,12,2,k=M,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,1,2,k=1,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,2,2,interior,0,0,2,2,2,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
12,3,3,2,interior,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0.8888888888888888,0.8888888888888888,0.8888888888888888
