n,d,k,count,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening_missing,tightening_mean,tightening_median,tightening_p90,upper_over_optimum_missing,upper_over_optimum_mean,upper_over_optimum_median,upper_over_optimum_p90,relative_upper_slack_missing,relative_upper_slack_mean,relative_upper_slack_median,relative_upper_slack_p90,greedy_ratio_missing,greedy_ratio_mean,greedy_ratio_median,greedy_ratio_p90,certified_ratio_missing,certified_ratio_mean,certified_ratio_median,certified_ratio_p90,relative_gap_bound_missing,relative_gap_bound_mean,relative_gap_bound_median,relative_gap_bound_p90
12,2,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,3,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,5,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9,0.9,0.9,0,0.9,0.9,0.9,0,0.09999999999999998,0.09999999999999998,0.09999999999999998
12,2,6,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0.09090909090909094,0.09090909090909094,0.09090909090909094
12,2,9,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,2,12,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,3,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0.11111111111111116,0.11111111111111116,0.11111111111111116
12,3,4,2,0,0,0,0,0.0,0.0,0,0,1.1454545454545455,1.1454545454545455,1.2,0,0.14545454545454545,0.14545454545454545,0.2,0,0.9545454545454546,0.9545454545454546,1.0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.16666666666666663,0.16666666666666663,0.16666666666666663
12,3,6,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,8,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,3,12,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,3,2,0,0,0,0,0.0,0.0,0,0,1.0909090909090908,1.0909090909090908,1.0909090909090908,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0.9545454545454546,0.9545454545454546,1.0,0,0.875,0.875,0.9166666666666666,0,0.125,0.125,0.16666666666666663
12,4,5,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,6,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
12,4,12,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,4,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,6,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0.08333333333333337,0.08333333333333337,0.08333333333333337
16,2,8,2,0,0,0,0,0.0,0.0,0,0,1.0357142857142856,1.0357142857142856,1.0714285714285714,0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0,0.8976190476190476,0.8976190476190476,0.9285714285714286,0,0.10238095238095235,0.10238095238095235,0.1333333333333333
16,2,12,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,2,16,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,3,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,4,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0.08333333333333337,0.08333333333333337,0.08333333333333337
16,3,6,2,1,1,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9333333333333333,0.9333333333333333,1.0,0,0.9333333333333333,0.9333333333333333,1.0,0,0.06666666666666665,0.06666666666666665,0.1333333333333333
16,3,8,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,11,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,3,16,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,3,2,1,1,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9583333333333333,0.9583333333333333,1.0,0,0.9583333333333333,0.9583333333333333,1.0,0,0.041666666666666685,0.041666666666666685,0.08333333333333337
16,4,4,2,0,0,0,0,0.0,0.0,0,0,1.0714285714285714,1.0714285714285714,1.1428571428571428,0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0,0.9375,0.9375,1.0,0,0.875,0.875,0.875,0,0.125,0.125,0.125
16,4,6,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,8,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
16,4,16,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,3,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,5,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,8,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9375,0.9375,0.9375,0,0.9375,0.9375,0.9375,0,0.0625,0.0625,0.0625
20,2,10,2,1,1,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9473684210526316,0.9473684210526316,1.0,0,0.9473684210526316,0.9473684210526316,1.0,0,0.05263157894736842,0.05263157894736842,0.10526315789473684
20,2,15,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,2,20,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,4,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,5,2,0,0,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0,0.06666666666666665,0.06666666666666665,0.06666666666666665
20,3,7,2,1,1,0,0,0.0,0.0,0,0,1.0294117647058822,1.0294117647058822,1.0588235294117647,0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0,1.0,1.0,1.0,0,0.9722222222222222,0.9722222222222222,1.0,0,0.02777777777777779,0.02777777777777779,0.05555555555555558
20,3,10,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,14,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,3,20,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,1,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,2,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,3,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,4,2,0,0,0,0,0.0,0.0,0,0,1.0666666666666667,1.0666666666666667,1.0666666666666667,0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,1.0,1.0,1.0,0,0.9375,0.9375,0.9375,0,0.0625,0.0625,0.0625
20,4,5,2,0,0,0,0,0.0,0.0,0,0,1.1143790849673203,1.1143790849673203,1.1176470588235294,0,0.11437908496732026,0.11437908496732026,0.11764705882352941,0,0.9722222222222222,0.9722222222222222,1.0,0,0.8723684210526316,0.8723684210526316,0.8947368421052632,0,0.12763157894736843,0.12763157894736843,0.15000000000000002
20,4,8,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,10,2,2,2,0,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
20,4,20,2,2,2,1,0,0.0,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0
